IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514628474243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.514628474243 +/- 0.000000000000 
