IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564604420625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.564604420625 +/- 0.000000000000 
